method,source_cents,condition,nuisance_seed,waveform_sha256,repeat,position,elapsed_ms,encoder_source_sha256,python,numpy
legacy-point,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,2,1,9.19085,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,2,2,11.492441,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,3,0,9.510897,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,3,1,11.571606,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,3,2,9.343469,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,4,0,9.836787,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,4,1,8.881789,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6000,noise-10db,17,5f56ef11f61a136e0b3b48ef635787c44c49853d88b80bfb8fba6c3e1aa4b231,4,2,9.069259,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,0,0,11.051341,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,0,1,7.828953,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,0,2,9.610535,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,1,0,6.673348,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,1,1,8.142972,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,1,2,10.063327,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,2,0,8.978045,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,2,1,11.245115,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,2,2,8.031718,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
cell-max,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,3,0,10.794374,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,3,1,8.134035,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
legacy-point,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,3,2,8.662891,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
quadratic-fft,6857,clean,17,993faa1b3cc97c16ce7545805034b7a64880fad67864c99d36aebf8d566e02bb,4,0,8.028652,c295d1ed726ec71010d2a9f66ee441fed92b49ce986eb3fb21cf69e2dfafc23b,3.12.3,2.5.1
